Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Europe,Total renewable energy,Electricity generation (GWh),641713.67,651047.56,607268.81,589971.03,645333.75,679073.22,688405.71,731313.10,791128.01,815744.91,899410.72,885338.85,1004241.83,1094314.61,1135719.92,1173188.51,1195710.97,1210693.12,1300021.45,1333746.33,,
Europe,Hydropower,Electricity generation (GWh),607014.62,611563.12,557220.74,521556.60,551301.24,564927.84,550427.82,557742.82,587778.19,580977.55,622863.39,541658.80,596258.96,630183.14,631522.06,597676.24,613411.64,557415.82,612793.57,567043.66,,
Europe,Renewable hydropower,Electricity generation (GWh),577538.34,579987.11,520817.69,486732.80,515774.23,527009.79,512823.71,521825.26,552413.38,546434.40,588399.10,509221.16,561415.79,595253.64,596243.43,562625.87,578251.36,520357.92,577977.87,533917.22,,
Europe,Pumped storage,Electricity generation (GWh),29476.28,31576.00,36403.06,34823.80,35527.01,37918.05,37604.11,35917.57,35364.81,34543.15,34464.29,32437.64,34843.17,34929.50,35278.63,35050.37,35160.28,37057.91,34815.71,33126.44,,
Europe,Marine,Electricity generation (GWh),507.31,484.96,494.49,490.39,470.21,480.93,464.27,465.31,465.16,449.02,478.68,478.75,462.95,418.94,483.56,492.20,501.33,526.57,489.89,493.62,,
Europe,Wind,Electricity generation (GWh),22264.29,26751.87,36422.38,44851.03,59761.55,71554.28,83638.30,106151.53,121347.99,134895.94,151110.37,182769.21,209249.98,240516.21,258132.94,307628.99,307661.30,367181.74,383523.90,441294.85,,
Europe,Onshore wind energy,Electricity generation (GWh),22147.41,26595.88,35980.97,44011.15,58528.43,70114.63,81959.20,103879.99,117998.06,129728.87,143926.86,171774.52,195412.77,221246.34,233193.46,271036.58,267576.68,316155.92,325033.43,369192.41,,
Europe,Offshore wind energy,Electricity generation (GWh),116.88,155.99,441.41,839.88,1233.13,1439.65,1679.10,2271.54,3349.93,5167.07,7183.51,10994.69,13837.21,19269.87,24939.48,36592.42,40084.62,51025.82,58490.47,72102.44,,
Europe,Solar,Electricity generation (GWh),130.52,200.90,289.65,443.00,719.65,1494.90,2532.24,3826.04,7501.37,14189.31,23379.78,47753.72,72191.82,87224.48,99997.22,110518.09,113836.89,122471.89,132001.30,144919.86,,
Europe,Solar photovoltaic,Electricity generation (GWh),130.52,200.90,289.65,443.00,719.65,1494.90,2532.24,3818.03,7485.22,14086.31,22609.11,45785.25,68407.30,82445.26,94529.94,104912.38,108230.75,116559.39,127104.79,139207.35,,
Europe,Concentrated solar power,Electricity generation (GWh),,0.00,0.00,0.00,0.00,0.00,0.00,8.01,16.15,103.00,770.68,1968.48,3784.52,4779.22,5467.28,5605.71,5606.14,5912.51,4896.51,5712.51,,
Europe,Bioenergy,Electricity generation (GWh),35165.22,37559.73,43050.65,50613.85,61601.15,71477.65,80700.27,89693.89,99630.88,109676.89,125975.06,134467.57,149891.41,159630.05,169321.00,180306.72,183659.92,188270.37,193363.68,200376.84,,
Europe,Solid biofuels,Electricity generation (GWh),28590.18,29932.10,33897.29,39922.51,49350.08,56730.90,62589.63,66814.67,73145.60,77703.00,88384.80,92299.99,98854.39,101059.24,106205.75,113943.42,114941.50,119068.05,124929.04,131763.11,,
Europe,Bagasse,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,10.82,10.01,4.02,0.33,1.50,0.00,0.00,0.00,0.00,0.00,14.71,9.72,0.00,0.00,,
Europe,Renewable municipal waste,Electricity generation (GWh),7996.51,8751.71,9023.39,10022.63,10792.73,12411.20,13700.37,15464.38,16139.19,16191.07,18056.27,19013.61,19574.72,20083.40,21129.74,22001.24,22580.42,23584.38,24222.31,24285.18,,
Europe,Other solid biofuels,Electricity generation (GWh),20593.67,21180.40,24873.90,29899.88,38557.35,44319.69,48878.45,51340.28,57002.39,61511.60,70327.03,73286.37,79219.44,80910.05,84982.85,91851.65,92260.80,95369.08,100592.81,107359.48,,
Europe,Liquid biofuels,Electricity generation (GWh),0.00,15.00,103.43,56.09,571.01,1768.56,2920.40,1552.27,1911.05,3897.26,5101.33,3490.05,3666.63,4382.76,4907.34,5621.34,5318.34,5023.37,4930.75,5233.68,,
Europe,Biogas,Electricity generation (GWh),6575.04,7612.63,9049.93,10635.25,11680.07,12978.20,15190.24,21326.94,24574.23,28076.63,32488.93,38677.54,47370.39,54188.05,58207.92,60741.96,63400.08,64178.96,63503.88,63380.06,,
Europe,Geothermal,Electricity generation (GWh),6108.00,6063.00,6193.97,6839.97,7006.95,7055.67,8246.92,9351.08,9769.23,10099.36,10067.73,10648.43,11029.88,11271.29,11541.77,11616.64,11800.16,11884.64,12664.83,12743.94,,
Austria,Total renewable energy,Electricity generation (GWh),43434.63,42232.47,41894.82,35312.93,39772.32,40884.59,40668.77,43177.48,44530.80,47177.24,44998.34,40908.17,51327.83,50491.40,50186.27,47582.04,51082.24,51055.17,50053.51,54380.11,,
Austria,Hydropower,Electricity generation (GWh),43218.35,41837.41,42019.88,35292.36,38966.14,39437.98,38056.27,39199.81,40666.45,43668.98,41558.42,37780.17,47741.90,45778.25,44833.63,40591.54,43008.49,42175.32,41219.15,43833.40,,
Austria,Renewable hydropower,Electricity generation (GWh),41835.65,40455.48,40227.00,33214.99,36762.28,37095.14,35656.09,37054.45,38329.49,40896.30,38363.42,34237.17,43847.70,42016.72,41007.24,37156.87,39971.34,38293.75,37637.91,40455.35,,
Austria,Pumped storage,Electricity generation (GWh),1382.70,1381.93,1792.88,2077.37,2203.86,2342.84,2400.18,2145.36,2336.96,2772.68,3195.01,3543.00,3894.20,3761.53,3826.40,3434.67,3037.15,3881.57,3581.24,3378.05,,
Austria,Marine,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Austria,Wind,Electricity generation (GWh),66.75,104.65,139.82,372.28,933.63,1331.28,1752.79,2037.19,2011.26,1954.04,2063.91,1936.20,2462.86,3152.43,3845.68,4840.32,5234.84,6571.51,6030.43,7477.36,,
Austria,Onshore wind energy,Electricity generation (GWh),66.75,104.65,139.82,372.28,933.63,1331.28,1752.79,2037.19,2011.26,1954.04,2063.91,1936.20,2462.86,3152.43,3845.68,4840.32,5234.84,6571.51,6030.43,7477.36,,
Austria,Offshore wind energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Austria,Solar,Electricity generation (GWh),3.23,5.34,9.03,14.69,18.43,21.02,22.39,24.24,30.12,48.92,88.81,174.07,337.48,625.97,785.25,937.10,1096.02,1268.97,1455.13,1702.09,,
Austria,Solar photovoltaic,Electricity generation (GWh),3.23,5.34,9.03,14.69,18.43,21.02,22.39,24.24,30.12,48.92,88.81,174.07,337.48,625.97,785.25,937.10,1096.02,1268.97,1455.13,1702.09,,
Austria,Concentrated solar power,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Austria,Bioenergy,Electricity generation (GWh),1529.00,1667.00,1516.00,1708.00,2056.00,2434.85,3234.44,4059.20,4158.32,4276.47,4480.80,4559.68,4679.11,4695.97,4547.73,4647.69,4780.03,4920.84,4929.80,4745.11,,
Austria,Solid biofuels,Electricity generation (GWh),1468.00,1600.00,1472.00,1659.00,1976.00,2067.40,2755.44,3385.54,3520.29,3628.05,3804.24,3922.64,4037.03,4072.92,3934.30,4014.03,4113.56,4250.27,4301.39,4133.04,,
Austria,Bagasse,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Austria,Renewable municipal waste,Electricity generation (GWh),32.00,33.00,32.00,137.00,277.00,140.27,210.90,222.01,203.97,214.08,213.96,211.58,239.60,255.09,331.02,302.24,330.36,315.52,335.80,357.55,,
Austria,Other solid biofuels,Electricity generation (GWh),1436.00,1567.00,1440.00,1522.00,1699.00,1927.13,2544.54,3163.53,3316.31,3413.97,3590.28,3711.06,3797.43,3817.83,3603.28,3711.79,3783.20,3934.74,3965.58,3775.49,,
Austria,Liquid biofuels,Electricity generation (GWh),0.00,0.00,0.00,1.00,21.00,56.47,67.31,71.66,36.08,39.82,30.40,11.92,0.41,0.26,0.13,0.14,0.75,0.23,0.10,0.20,,
Austria,Biogas,Electricity generation (GWh),61.00,67.00,44.00,48.00,59.00,310.98,411.69,601.99,601.95,608.60,646.16,625.12,641.67,622.79,613.29,633.52,665.71,670.35,628.31,611.87,,
Austria,Geothermal,Electricity generation (GWh),0.00,0.00,2.97,2.97,1.98,2.30,3.06,2.41,1.62,1.51,1.40,1.05,0.68,0.31,0.38,0.06,0.02,0.09,0.24,0.20,,
Belgium,Total renewable energy,Electricity generation (GWh),1044.00,1075.00,1138.00,1192.00,1496.02,2106.34,2952.22,3486.15,4416.98,5439.01,6630.70,8334.20,10513.30,11731.40,12266.40,14512.40,14352.80,15868.40,17151.90,19515.50,,
Belgium,Hydropower,Electricity generation (GWh),1699.00,1644.00,1490.00,1316.00,1607.00,1604.00,1628.34,1682.75,1756.56,1757.00,1668.00,1423.00,1659.00,1704.00,1465.20,1417.50,1489.10,1397.40,1328.80,1181.20,,
Belgium,Renewable hydropower,Electricity generation (GWh),460.00,441.00,360.00,247.00,316.90,288.00,359.34,389.00,409.58,328.00,312.00,196.00,357.00,380.00,292.20,318.40,370.00,270.10,313.50,302.00,,
Belgium,Pumped storage,Electricity generation (GWh),1239.00,1203.00,1130.00,1069.00,1290.10,1316.00,1269.00,1293.75,1346.98,1429.00,1356.00,1227.00,1302.00,1324.00,1173.00,1099.10,1119.10,1127.30,1015.30,879.20,,
Belgium,Marine,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Belgium,Wind,Electricity generation (GWh),16.00,37.00,57.00,88.00,141.45,227.00,366.26,491.10,637.01,996.00,1292.00,2312.00,2751.00,3665.00,4615.30,5574.00,5437.70,6513.70,7464.70,9725.60,,
Belgium,Onshore wind energy,Electricity generation (GWh),16.00,37.00,57.00,88.00,141.45,227.00,366.26,491.10,637.01,914.00,1102.00,1603.00,1897.00,2125.00,2399.00,2961.00,3046.00,3868.70,4153.70,5080.60,,
Belgium,Offshore wind energy,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,190.00,709.00,854.00,1540.00,2216.30,2613.00,2391.70,2645.00,3311.00,4645.00,,
Belgium,Solar,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.66,1.34,1.62,6.06,41.39,166.01,560.00,1169.00,2148.00,2644.00,2886.20,3056.30,3095.20,3307.60,3902.90,4247.00,,
Belgium,Solar photovoltaic,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.66,1.34,1.62,6.06,41.39,166.01,560.00,1169.00,2148.00,2644.00,2886.20,3056.30,3095.20,3307.60,3902.90,4247.00,,
Belgium,Concentrated solar power,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Belgium,Bioenergy,Electricity generation (GWh),568.00,597.00,721.00,857.00,1037.00,1590.00,2225.00,2600.00,3329.00,3949.00,4466.70,4657.20,5257.30,5042.40,4472.70,5563.70,5449.90,5777.00,5470.80,5240.90,,
Belgium,Solid biofuels,Electricity generation (GWh),470.00,470.00,584.00,683.00,804.00,1286.00,1725.00,2115.00,2855.00,3120.00,3631.70,3867.30,4443.80,4142.10,3511.20,4481.20,4425.40,4803.20,4451.90,4222.60,,
Belgium,Bagasse,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Belgium,Renewable municipal waste,Electricity generation (GWh),306.00,297.00,313.00,306.00,292.00,326.00,319.00,297.00,370.00,463.00,653.30,734.40,759.40,787.60,879.70,927.20,954.40,986.80,967.60,930.70,,
Belgium,Other solid biofuels,Electricity generation (GWh),164.00,173.00,271.00,377.00,512.00,960.00,1406.00,1818.00,2485.00,2657.00,2978.40,3132.90,3684.40,3354.50,2631.50,3554.00,3471.00,3816.40,3484.30,3291.90,,
Belgium,Liquid biofuels,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,81.00,226.00,196.00,141.00,360.00,265.00,225.90,150.00,126.70,90.00,129.80,31.20,35.60,74.20,71.40,,
Belgium,Biogas,Electricity generation (GWh),98.00,127.00,137.00,174.00,233.00,223.00,274.00,289.00,333.00,469.00,570.00,564.00,663.50,773.60,871.50,952.70,993.30,938.20,944.70,946.90,,
Belgium,Geothermal,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Total renewable energy,Electricity generation (GWh),6453.90,7180.40,5851.80,5457.80,7632.60,7060.50,6647.00,4743.00,5840.90,7488.09,9298.42,5288.02,5262.25,9275.27,9936.36,7510.20,8362.89,7115.70,9781.30,8346.80,,
Croatia,Hydropower,Electricity generation (GWh),6471.20,7218.50,5918.40,5518.10,7719.70,7140.50,6741.00,4863.80,5890.50,7493.40,9232.30,5161.79,4998.90,8727.00,9124.12,6555.64,7057.60,5507.70,7784.90,5932.60,,
Croatia,Renewable hydropower,Electricity generation (GWh),6452.90,7180.40,5851.80,5457.80,7626.60,7036.50,6617.00,4700.10,5780.00,7408.80,9126.20,5031.89,4837.10,8621.70,9006.22,6390.64,6852.10,5307.40,7700.90,5826.10,,
Croatia,Pumped storage,Electricity generation (GWh),18.30,38.10,66.60,60.30,93.10,104.00,124.00,163.70,110.50,84.60,106.10,129.90,161.80,105.30,117.90,165.00,205.50,200.30,84.00,106.50,,
Croatia,Marine,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Wind,Electricity generation (GWh),0.00,0.00,0.00,0.00,2.00,10.00,19.00,34.90,39.90,54.20,139.10,201.00,328.75,517.29,729.97,796.30,1014.25,1204.00,1335.40,1467.30,,
Croatia,Onshore wind energy,Electricity generation (GWh),0.00,0.00,0.00,0.00,2.00,10.00,19.00,34.90,39.90,54.20,139.10,201.00,328.75,517.29,729.97,796.30,1014.25,1204.00,1335.40,1467.30,,
Croatia,Offshore wind energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Solar,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.14,2.40,11.28,35.17,57.26,65.54,78.70,74.90,83.10,,
Croatia,Solar photovoltaic,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.14,2.40,11.28,35.17,57.26,65.54,78.70,74.90,83.10,,
Croatia,Concentrated solar power,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Bioenergy,Electricity generation (GWh),1.00,0.00,0.00,0.00,4.00,14.00,11.00,8.00,21.00,25.00,33.00,55.00,94.00,125.00,165.00,266.00,431.00,525.60,668.10,878.40,,
Croatia,Solid biofuels,Electricity generation (GWh),1.00,0.00,0.00,0.00,4.00,3.00,5.00,3.00,2.00,3.00,3.00,19.00,37.00,48.00,50.00,89.00,194.00,215.90,313.20,477.20,,
Croatia,Bagasse,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Renewable municipal waste,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Other solid biofuels,Electricity generation (GWh),1.00,0.00,0.00,0.00,4.00,3.00,5.00,3.00,2.00,3.00,3.00,19.00,37.00,48.00,50.00,89.00,194.00,215.90,313.20,477.20,,
Croatia,Liquid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Biogas,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,11.00,6.00,5.00,19.00,22.00,30.00,36.00,57.00,77.00,115.00,177.00,237.00,309.70,354.90,401.20,,
Croatia,Geothermal,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,91.90,,
Cyprus,Total renewable energy,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.81,0.92,1.36,3.10,14.91,31.19,73.12,178.60,257.02,327.15,317.44,399.52,424.64,435.21,477.43,514.75,,
Cyprus,Hydropower,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Renewable hydropower,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Pumped storage,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Marine,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Wind,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.36,0.36,0.36,0.36,0.36,0.36,31.73,114.67,185.48,231.04,182.85,221.86,226.70,211.45,221.04,238.57,,
Cyprus,Onshore wind energy,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.36,0.36,0.36,0.36,0.36,0.36,31.73,114.67,185.48,231.04,182.85,221.86,226.70,211.45,221.04,238.57,,
Cyprus,Offshore wind energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Solar,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.45,0.57,1.00,1.74,2.56,3.84,6.39,11.94,21.55,47.11,83.59,126.66,145.94,172.01,199.49,218.27,,
Cyprus,Solar photovoltaic,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.45,0.57,1.00,1.74,2.56,3.84,6.39,11.94,21.55,47.11,83.59,126.66,145.94,172.01,199.49,218.27,,
Cyprus,Concentrated solar power,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bioenergy,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.00,27.00,35.00,52.00,50.00,49.00,51.00,51.00,52.00,51.75,56.90,57.92,,
Cyprus,Solid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bagasse,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Renewable municipal waste,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Other solid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Liquid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Biogas,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.00,27.00,35.00,52.00,50.00,49.00,51.00,51.00,52.00,51.75,56.90,57.92,,
Cyprus,Geothermal,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Total renewable energy,Electricity generation (GWh),2283.94,2577.08,2998.13,1879.08,2741.36,3132.60,3520.69,3410.83,3730.93,4654.48,5902.67,7248.17,8064.61,9308.91,9171.64,9421.27,9384.90,9620.85,9425.32,10051.28,,
Czechia,Hydropower,Electricity generation (GWh),2313.00,2467.00,2845.00,1794.00,2562.60,3027.00,3257.30,2523.41,2376.34,2982.71,3380.58,2664.02,2860.14,3639.51,2960.75,3070.77,3202.04,3039.92,2679.42,3174.69,,
Czechia,Renewable hydropower,Electricity generation (GWh),1758.00,2054.00,2492.00,1383.00,2019.20,2379.91,2550.70,2089.60,2024.34,2429.61,2789.47,1963.15,2129.17,2734.74,1909.22,1794.81,2000.49,1869.46,1628.83,2008.03,,
Czechia,Pumped storage,Electricity generation (GWh),555.00,413.00,353.00,411.00,543.40,647.09,706.60,433.81,352.00,553.10,591.11,700.86,730.98,904.77,1051.53,1275.96,1201.55,1170.46,1050.59,1166.66,,
Czechia,Marine,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Wind,Electricity generation (GWh),0.89,0.00,2.02,4.89,9.87,21.28,49.40,125.10,244.66,288.07,335.49,397.00,415.82,480.52,476.54,572.61,496.96,591.04,609.33,700.01,,
Czechia,Onshore wind energy,Electricity generation (GWh),0.89,0.00,2.02,4.89,9.87,21.28,49.40,125.10,244.66,288.07,335.49,397.00,415.82,480.52,476.54,572.61,496.96,591.04,609.33,700.01,,
Czechia,Offshore wind energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Solar,Electricity generation (GWh),0.05,0.08,0.12,0.18,0.29,0.41,0.59,2.13,12.94,88.81,615.70,2182.02,2148.62,2032.65,2122.87,2263.85,2131.46,2193.37,2358.88,2311.57,,
Czechia,Solar photovoltaic,Electricity generation (GWh),0.05,0.08,0.12,0.18,0.29,0.41,0.59,2.13,12.94,88.81,615.70,2182.02,2148.62,2032.65,2122.87,2263.85,2131.46,2193.37,2358.88,2311.57,,
Czechia,Concentrated solar power,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Bioenergy,Electricity generation (GWh),525.00,523.00,504.00,491.00,712.00,731.00,920.00,1194.00,1449.00,1848.00,2162.00,2706.00,3371.00,4061.00,4663.00,4790.00,4756.00,4966.98,4828.28,5031.66,,
Czechia,Solid biofuels,Electricity generation (GWh),390.00,390.00,377.00,383.00,574.00,571.00,743.00,979.00,1182.00,1407.00,1527.00,1776.00,1903.00,1767.00,2080.00,2179.00,2166.00,2327.72,2221.07,2503.58,,
Czechia,Bagasse,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Renewable municipal waste,Electricity generation (GWh),8.00,9.00,10.00,10.00,10.00,11.00,12.00,11.00,11.00,11.00,35.00,90.00,86.00,84.00,88.00,87.00,99.00,114.32,100.19,104.85,,
Czechia,Other solid biofuels,Electricity generation (GWh),382.00,381.00,367.00,373.00,564.00,560.00,731.00,968.00,1171.00,1396.00,1492.00,1686.00,1817.00,1683.00,1992.00,2092.00,2067.00,2213.40,2120.88,2398.73,,
Czechia,Liquid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
